hydrophobicity_PRAM900101.G1,hydrophobicity_PRAM900101.G2,hydrophobicity_PRAM900101.G3,hydrophobicity_ARGP820101.G1,hydrophobicity_ARGP820101.G2,hydrophobicity_ARGP820101.G3,hydrophobicity_ZIMJ680101.G1,hydrophobicity_ZIMJ680101.G2,hydrophobicity_ZIMJ680101.G3,hydrophobicity_PONP930101.G1,hydrophobicity_PONP930101.G2,hydrophobicity_PONP930101.G3,hydrophobicity_CASG920101.G1,hydrophobicity_CASG920101.G2,hydrophobicity_CASG920101.G3,hydrophobicity_ENGD860101.G1,hydrophobicity_ENGD860101.G2,hydrophobicity_ENGD860101.G3,hydrophobicity_FASG890101.G1,hydrophobicity_FASG890101.G2,hydrophobicity_FASG890101.G3,normwaalsvolume.G1,normwaalsvolume.G2,normwaalsvolume.G3,polarity.G1,polarity.G2,polarity.G3,polarizability.G1,polarizability.G2,polarizability.G3,charge.G1,charge.G2,charge.G3,secondarystruct.G1,secondarystruct.G2,secondarystruct.G3,solventaccess.G1,solventaccess.G2,solventaccess.G3,L1
0.55,0.3,0.15,0.55,0.3,0.15,0.75,0.1,0.15,0.6,0.25,0.15,0.7,0.2,0.1,0.55,0.3,0.15,0.5,0.2,0.3,0.35,0.5,0.15,0.15,0.3,0.55,0.35,0.5,0.15,0.15,0.7,0.15,0.6,0.15,0.25,0.35,0.55,0.1,1
0.4,0.55,0.05,0.4,0.4,0.2,0.7,0.1,0.2,0.6,0.35,0.05,0.65,0.3,0.05,0.55,0.4,0.05,0.4,0.25,0.35,0.55,0.35,0.1,0.05,0.55,0.4,0.4,0.5,0.1,0.1,0.6,0.3,0.7,0.1,0.2,0.4,0.4,0.2,1
0.25,0.333333333,0.416666667,0.166666667,0.416666667,0.416666667,0.5,0.083333333,0.416666667,0.166666667,0.416666667,0.416666667,0.333333333,0.416666667,0.25,0.25,0.333333333,0.416666667,0.25,0.083333333,0.666666667,0.416666667,0.25,0.333333333,0.416666667,0.333333333,0.25,0.416666667,0.25,0.333333333,0.166666667,0.75,0.083333333,0.583333333,0.25,0.166666667,0.75,0.25,0,1
0.3,0.55,0.15,0.55,0.3,0.15,0.85,0.1,0.05,0.4,0.4,0.2,0.6,0.3,0.1,0.35,0.6,0.05,0.4,0.2,0.4,0.55,0.25,0.2,0.2,0.5,0.3,0.55,0.25,0.2,0.05,0.85,0.1,0.45,0.2,0.35,0.55,0.3,0.15,1
0.142857143,0.642857143,0.214285714,0.642857143,0.214285714,0.142857143,0.714285714,0.142857143,0.142857143,0.285714286,0.428571429,0.285714286,0.642857143,0.142857143,0.214285714,0.214285714,0.571428571,0.214285714,0.142857143,0.5,0.357142857,0.714285714,0.214285714,0.071428571,0.285714286,0.571428571,0.142857143,0.571428571,0.357142857,0.071428571,0,0.928571429,0.071428571,0.142857143,0.357142857,0.5,0.642857143,0.142857143,0.214285714,1
0.153846154,0.384615385,0.461538462,0.307692308,0.384615385,0.307692308,0.461538462,0.230769231,0.307692308,0.307692308,0.230769231,0.461538462,0.307692308,0.461538462,0.230769231,0.230769231,0.307692308,0.461538462,0.230769231,0.076923077,0.692307692,0.461538462,0.461538462,0.076923077,0.461538462,0.307692308,0.230769231,0.461538462,0.461538462,0.076923077,0,0.846153846,0.153846154,0.307692308,0.461538462,0.230769231,0.615384615,0.153846154,0.230769231,1
0.35,0.5,0.15,0.5,0.35,0.15,0.7,0.15,0.15,0.65,0.2,0.15,0.65,0.3,0.05,0.45,0.4,0.15,0.35,0.3,0.35,0.5,0.45,0.05,0.15,0.5,0.35,0.4,0.55,0.05,0.05,0.65,0.3,0.55,0.35,0.1,0.35,0.35,0.3,1
0.555555556,0.277777778,0.166666667,0.388888889,0.5,0.111111111,0.722222222,0.166666667,0.111111111,0.5,0.333333333,0.166666667,0.611111111,0.333333333,0.055555556,0.555555556,0.277777778,0.166666667,0.555555556,0.055555556,0.388888889,0.333333333,0.444444444,0.222222222,0.166666667,0.277777778,0.555555556,0.333333333,0.444444444,0.222222222,0.222222222,0.555555556,0.222222222,0.722222222,0.111111111,0.166666667,0.388888889,0.555555556,0.055555556,1
0.428571429,0.357142857,0.214285714,0.428571429,0.428571429,0.142857143,0.642857143,0.214285714,0.142857143,0.571428571,0.214285714,0.214285714,0.642857143,0.214285714,0.142857143,0.5,0.285714286,0.214285714,0.428571429,0.214285714,0.357142857,0.571428571,0.214285714,0.214285714,0.214285714,0.357142857,0.428571429,0.428571429,0.357142857,0.214285714,0.142857143,0.642857143,0.214285714,0.357142857,0.285714286,0.357142857,0.357142857,0.428571429,0.214285714,1
0.25,0.5,0.25,0.333333333,0.583333333,0.083333333,0.5,0.416666667,0.083333333,0.333333333,0.333333333,0.333333333,0.416666667,0.583333333,-1.11E-16,0.416666667,0.333333333,0.25,0.25,0.166666667,0.583333333,0.333333333,0.416666667,0.25,0.333333333,0.333333333,0.333333333,0.333333333,0.416666667,0.25,0.083333333,0.833333333,0.083333333,0.416666667,0.333333333,0.25,0.5,0.25,0.25,1
0.2,0.15,0.65,0.2,0.1,0.7,0.4,0,0.6,0.2,0.1,0.7,0.2,0.45,0.35,0.25,0.2,0.55,0.15,0.05,0.8,0.15,0.6,0.25,0.7,0.1,0.2,0.15,0.6,0.25,0,0.95,0.05,0.5,0.4,0.1,0.75,0.2,0.05,1
0.238095238,0.380952381,0.380952381,0.333333333,0.285714286,0.380952381,0.476190476,0.142857143,0.380952381,0.428571429,0.19047619,0.380952381,0.476190476,0.333333333,0.19047619,0.333333333,0.285714286,0.380952381,0.285714286,0.19047619,0.523809524,0.476190476,0.380952381,0.142857143,0.380952381,0.380952381,0.238095238,0.380952381,0.476190476,0.142857143,0.047619048,0.857142857,0.095238095,0.333333333,0.285714286,0.380952381,0.571428571,0.238095238,0.19047619,1
0.333333333,0.333333333,0.333333333,0.277777778,0.444444444,0.277777778,0.555555556,0.166666667,0.277777778,0.333333333,0.333333333,0.333333333,0.388888889,0.388888889,0.222222222,0.333333333,0.333333333,0.333333333,0.333333333,0.055555556,0.611111111,0.444444444,0.388888889,0.166666667,0.333333333,0.333333333,0.333333333,0.444444444,0.388888889,0.166666667,0.111111111,0.722222222,0.166666667,0.555555556,0.277777778,0.166666667,0.666666667,0.333333333,5.55E-17,1
0,0.466666667,0.533333333,0.4,0.333333333,0.266666667,0.466666667,0.266666667,0.266666667,0.133333333,0.333333333,0.533333333,0.4,0.6,0,0,0.466666667,0.533333333,0.066666667,0.333333333,0.6,0.466666667,0.533333333,0,0.533333333,0.466666667,0,0.466666667,0.533333333,0,0,1,0,0.333333333,0.333333333,0.333333333,0.866666667,0,0.133333333,1
