hydrophobicity_PRAM900101.Tr1221,hydrophobicity_PRAM900101.Tr1331,hydrophobicity_PRAM900101.Tr2332,hydrophobicity_ARGP820101.Tr1221,hydrophobicity_ARGP820101.Tr1331,hydrophobicity_ARGP820101.Tr2332,hydrophobicity_ZIMJ680101.Tr1221,hydrophobicity_ZIMJ680101.Tr1331,hydrophobicity_ZIMJ680101.Tr2332,hydrophobicity_PONP930101.Tr1221,hydrophobicity_PONP930101.Tr1331,hydrophobicity_PONP930101.Tr2332,hydrophobicity_CASG920101.Tr1221,hydrophobicity_CASG920101.Tr1331,hydrophobicity_CASG920101.Tr2332,hydrophobicity_ENGD860101.Tr1221,hydrophobicity_ENGD860101.Tr1331,hydrophobicity_ENGD860101.Tr2332,hydrophobicity_FASG890101.Tr1221,hydrophobicity_FASG890101.Tr1331,hydrophobicity_FASG890101.Tr2332,normwaalsvolume.Tr1221,normwaalsvolume.Tr1331,normwaalsvolume.Tr2332,polarity.Tr1221,polarity.Tr1331,polarity.Tr2332,polarizability.Tr1221,polarizability.Tr1331,polarizability.Tr2332,charge.Tr1221,charge.Tr1331,charge.Tr2332,secondarystruct.Tr1221,secondarystruct.Tr1331,secondarystruct.Tr2332,solventaccess.Tr1221,solventaccess.Tr1331,solventaccess.Tr2332,L1
0.157894737,0.263157895,0.052631579,0.421052632,0.263157895,0.052631579,0.210526316,0.315789474,0,0.157894737,0.263157895,0.052631579,0.263157895,0.210526316,0,0.157894737,0.263157895,0.052631579,0.105263158,0.315789474,0.157894737,0.315789474,0,0.315789474,0.052631579,0.263157895,0.157894737,0.315789474,0,0.315789474,0.315789474,0,0.210526316,0.105263158,0.263157895,0.210526316,0.368421053,0.052631579,0.052631579,1
0.421052632,0,0.105263158,0.263157895,0.052631579,0.263157895,0.105263158,0.210526316,0.105263158,0.421052632,0.105263158,0,0.315789474,0.105263158,0,0.473684211,0.052631579,0.052631579,0.263157895,0.157894737,0.263157895,0.421052632,0.105263158,0.105263158,0.105263158,0,0.421052632,0.526315789,0,0.210526316,0.105263158,0.105263158,0.315789474,0.052631579,0.368421053,0.052631579,0.263157895,0.263157895,0.157894737,1
0.272727273,0.272727273,0.090909091,0,0.090909091,0.272727273,0.090909091,0.272727273,0.090909091,0.181818182,0.181818182,0.181818182,0.363636364,0.090909091,0.272727273,0.272727273,0.272727273,0.090909091,0.090909091,0.454545455,0,0.090909091,0.272727273,0.272727273,0.090909091,0.272727273,0.272727273,0.090909091,0.272727273,0.272727273,0.363636364,0,0.181818182,0.363636364,0.090909091,0,0.545454545,0,0,1
0.263157895,0.157894737,0.157894737,0.263157895,0.157894737,0.157894737,0.210526316,0.105263158,0,0.315789474,0.210526316,0.210526316,0.263157895,0.157894737,0.052631579,0.368421053,0.052631579,0.052631579,0.210526316,0.315789474,0.105263158,0.210526316,0.210526316,0.105263158,0.210526316,0.210526316,0.210526316,0.210526316,0.210526316,0.105263158,0.105263158,0,0.210526316,0.263157895,0.157894737,0.157894737,0.315789474,0.210526316,0.105263158,1
0.153846154,0.153846154,0.307692308,0.230769231,0.307692308,0,0.307692308,0.307692308,0,0.076923077,0.307692308,0.307692308,0.153846154,0.384615385,0.076923077,0.153846154,0.153846154,0.307692308,0.076923077,0.153846154,0.384615385,0.384615385,0.076923077,0.076923077,0.384615385,0.230769231,0.076923077,0.384615385,0.076923077,0.076923077,0,0,0.153846154,0.230769231,0,0.384615385,0.153846154,0.230769231,0.153846154,1
0.166666667,0.166666667,0.333333333,0.333333333,0.25,0.25,0.166666667,0.333333333,0.166666667,0.25,0.333333333,0.166666667,0.333333333,0.25,0.25,0.083333333,0.25,0.25,0,0.5,0.083333333,0.416666667,0.083333333,0.083333333,0.25,0.25,0.083333333,0.416666667,0.083333333,0.083333333,0,0,0.333333333,0.333333333,0.25,0.25,0.25,0.333333333,0.083333333,1
0.368421053,0.052631579,0.210526316,0.368421053,0.052631579,0.157894737,0.105263158,0.052631579,0.157894737,0.263157895,0.263157895,0,0.421052632,0.105263158,0,0.315789474,0.210526316,0.052631579,0.210526316,0.210526316,0.315789474,0.526315789,0.052631579,0.052631579,0.210526316,0.052631579,0.368421053,0.368421053,0,0.105263158,0.052631579,0.052631579,0.368421053,0.315789474,0.052631579,0.157894737,0.210526316,0.315789474,0.210526316,1
0.470588235,0.294117647,0.058823529,0.411764706,0.058823529,0.176470588,0.235294118,0.176470588,0.058823529,0.294117647,0.235294118,0.117647059,0.588235294,0.058823529,0.058823529,0.470588235,0.294117647,0.058823529,0.058823529,0.588235294,0.058823529,0.352941176,0.176470588,0.235294118,0.058823529,0.294117647,0.470588235,0.352941176,0.176470588,0.235294118,0.352941176,0.058823529,0.294117647,0.117647059,0.235294118,0.117647059,0.647058824,0,0.117647059,1
0.384615385,0.307692308,0.153846154,0.692307692,0.076923077,0.076923077,0.384615385,0.153846154,0,0.307692308,0.384615385,0.076923077,0.384615385,0.307692308,0,0.307692308,0.384615385,0.076923077,0.076923077,0.461538462,0.230769231,0.307692308,0.230769231,0,0.153846154,0.307692308,0.384615385,0.384615385,0.153846154,0.076923077,0.153846154,0.076923077,0.384615385,0.230769231,0.230769231,0.384615385,0.461538462,0.230769231,0.230769231,1
0.272727273,0.181818182,0.363636364,0.454545455,0.090909091,0.090909091,0.363636364,0.090909091,0.090909091,0.272727273,0.363636364,0.181818182,0.636363636,0,0,0.363636364,0.454545455,0.090909091,0,0.454545455,0.181818182,0.272727273,0.181818182,0.272727273,0.181818182,0.363636364,0.272727273,0.272727273,0.181818182,0.272727273,0.090909091,0,0.181818182,0.272727273,0.090909091,0.272727273,0.454545455,0.363636364,0,1
